prenom,genre,nb
Catherine,F,4389
Françoise,F,4334
Isabelle,F,4295
Sylvie,F,4197
Martine,F,4094
Nathalie,F,3942
Christine,F,3637
Monique,F,3005
Chantal,F,2835
Nicole,F,2798
Véronique,F,2583
Annie,F,2479
Valérie,F,2458
Brigitte,F,2405
Patricia,F,2096
Michèle,F,2050
Dominique,F,2046
Sandrine,F,1966
Laurence,F,1925
Jacqueline,F,1866
Corinne,F,1846
Christiane,F,1805
Nadine,F,1694
Sophie,F,1688
Anne,F,1678
Anne-Marie,F,1670
Evelyne,F,1639
Elisabeth,F,1608
Florence,F,1552
Claudine,F,1544
Béatrice,F,1477
Christelle,F,1426
Danielle,F,1392
Pascale,F,1385
Annick,F,1300
Bernadette,F,1296
Céline,F,1235
Hélène,F,1221
Stéphanie,F,1218
Fabienne,F,1174
Marie-Christine,F,1169
Colette,F,1167
Mireille,F,1151
Maryse,F,1122
Jocelyne,F,1118
Geneviève,F,1117
Marie-Claude,F,1102
Marie-Thérèse,F,1067
Agnès,F,1063
Josiane,F,1058
Marie,F,1050
Josette,F,1011
Odile,F,1004
Karine,F,998
Cécile,F,984
Joëlle,F,911
Danièle,F,910
Carole,F,891
Virginie,F,887
Marie-France,F,817
Eliane,F,813
Delphine,F,787
Michelle,F,776
Denise,F,774
Caroline,F,740
Muriel,F,738
Claire,F,724
Myriam,F,724
Francine,F,719
Liliane,F,702
Ghislaine,F,673
Sabine,F,650
Yvette,F,646
Marie-Claire,F,642
Thérèse,F,638
Régine,F,635
Marie-Hélène,F,635
Gisèle,F,634
Séverine,F,630
Aline,F,558
Nelly,F,550
Edith,F,547
Simone,F,536
Marie-Pierre,F,534
Marie-Françoise,F,527
Magali,F,519
Frédérique,F,509
Emmanuelle,F,508
Viviane,F,507
Arlette,F,501
Lydie,F,498
Sylviane,F,491
Madeleine,F,489
Sandra,F,488
Andrée,F,469
Marie-José,F,463
Jeanine,F,457
Maryline,F,457
Ginette,F,456
Jeannine,F,437
Pierrette,F,431
Sonia,F,419
Micheline,F,416
Claude,F,415
Paulette,F,411
Marie-Laure,F,402
Marie-Paule,F,402
Aurélie,F,394
Murielle,F,393
Nadia,F,379
Suzanne,F,377
Yolande,F,375
Maryvonne,F,371
Laure,F,367
Huguette,F,365
Solange,F,359
Renée,F,348
Emilie,F,346
Carine,F,335
Marie-Noëlle,F,335
Alexandra,F,330
Jeanne,F,327
Roselyne,F,325
Claudette,F,321
Nadège,F,315
Angélique,F,313
Géraldine,F,300
Janine,F,299
Lucette,F,293
Marie-Jeanne,F,291
Audrey,F,290
Claudie,F,288
Estelle,F,287
Armelle,F,285
Raymonde,F,283
Cathy,F,282
Odette,F,281
Maria,F,275
Bénédicte,F,275
Marianne,F,272
Laetitia,F,269
Annette,F,263
Julie,F,261
Marie-Odile,F,259
Elodie,F,257
Anita,F,253
Noëlle,F,245
Rachel,F,235
Marguerite,F,232
Marie-Louise,F,232
Marie-Josée,F,231
Mauricette,F,219
Marie-Ange,F,217
Yvonne,F,216
Marie-Madeleine,F,212
Marcelle,F,212
Gaëlle,F,211
Sabrina,F,209
Marielle,F,206
Irène,F,202
Blandine,F,200
Marie-Line,F,199
Marylène,F,195
Laëtitia,F,195
Lucienne,F,194
Valerie,F,192
Christel,F,186
Mélanie,F,185
Vanessa,F,184
Michele,F,183
Magalie,F,183
Lucie,F,182
Veronique,F,182
Rose-Marie,F,178
Corine,F,176
Lydia,F,175
Marlène,F,172
Joelle,F,172
Georgette,F,170
Marie-Josèphe,F,169
Marie-Annick,F,168
Anne-Sophie,F,162
Alice,F,162
Aurore,F,161
Katia,F,159
Elise,F,158
Sarah,F,156
Edwige,F,156
Marie-Rose,F,155
Marie-Anne,F,154
Sylvette,F,154
Gabrielle,F,147
Sylvia,F,147
Marie-Agnès,F,143
Fanny,F,142
Marion,F,141
Antoinette,F,137
Ingrid,F,135
Marina,F,131
Paule,F,131
Natacha,F,130
Anne Marie,F,129
Charlotte,F,128
Rolande,F,128
France,F,128
Adeline,F,126
Mathilde,F,126
Carmen,F,126
Barbara,F,125
Henriette,F,123
Maud,F,122
Marinette,F,121
Juliette,F,121
Gilberte,F,117
Christèle,F,114
Fatima,F,114
Daniele,F,113
Genevieve,F,113
Marie-Dominique,F,113
Aude,F,112
Roseline,F,111
Linda,F,106
Peggy,F,105
Lysiane,F,105
Amandine,F,103
Anne-Laure,F,103
Beatrice,F,100
Agnes,F,99
Dorothée,F,99
Amélie,F,99
Marie-Antoinette,F,98
Anna,F,98
Louisette,F,97
Dany,F,96
Sylvaine,F,95
Yveline,F,95
Germaine,F,94
Mylène,F,94
Jeannette,F,92
Coralie,F,92
Celine,F,91
Marjorie,F,91
Camille,F,89
Stephanie,F,88
Marie-Andrée,F,88
Lise,F,88
Clotilde,F,87
Pauline,F,86
Louise,F,86
Betty,F,84
Astrid,F,84
Line,F,84
Marie-Cécile,F,84
Guylaine,F,81
Angèle,F,81
Annabelle,F,79
Anny,F,79
Malika,F,79
Marie Claude,F,79
Helene,F,77
Marie-Chantal,F,77
Jeanne-Marie,F,77
Marilyne,F,77
Clarisse,F,76
Eveline,F,76
Laurette,F,71
Francette,F,71
Karen,F,69
Marine,F,68
Maïté,F,68
Jennifer,F,68
Marthe,F,67
Rose,F,67
Jessica,F,67
Pascaline,F,66
Reine,F,66
Réjane,F,66
Elsa,F,66
Chrystelle,F,65
Ludivine,F,65
Marie Christine,F,65
Cindy,F,64
Claudia,F,63
Marie France,F,63
Charline,F,62
Cecile,F,60
Anne-Lise,F,60
Fernande,F,59
Marie-Renée,F,57
Gisele,F,57
Severine,F,57
Marie-Laurence,F,56
Gaelle,F,56
Lucile,F,56
Violette,F,55
Joséphine,F,55
Maguy,F,55
Marie-Lise,F,54
Marie-Catherine,F,54
Therese,F,54
Chrystel,F,53
Marie-Jo,F,53
Marie-Therese,F,52
Eliette,F,50
Olivia,F,48
Marie-Luce,F,48
Nancy,F,48
Bérangère,F,48
Mariette,F,48
Laura,F,47
Ariane,F,47
Marie-Elisabeth,F,47
Ghyslaine,F,45
Marie-Noelle,F,45
Marie-Pascale,F,45
Chrystèle,F,45
Eve,F,45
Olga,F,44
Marie Claire,F,43
Doris,F,43
Marie Pierre,F,43
Diane,F,42
Dolorès,F,42
Marylise,F,42
Judith,F,41
Manuela,F,41
Esther,F,41
Marie-Joëlle,F,40
Katy,F,40
Rosa,F,40
Rosine,F,39
Marie-Bernadette,F,39
Nora,F,39
Marie Thérèse,F,39
Elizabeth,F,39
Graziella,F,38
Eva,F,38
Violaine,F,38
Morgane,F,38
Rita,F,37
Nicolle,F,37
Marie Therese,F,37
Marie-Reine,F,37
Marie Paule,F,36
Roberte,F,36
Yannick,F,35
Cynthia,F,35
Fatiha,F,35
Emeline,F,34
Regine,F,34
Emilienne,F,34
Frederique,F,34
Agathe,F,34
Yolaine,F,34
Noelle,F,34
Marie Françoise,F,34
Suzette,F,33
Léone,F,33
Isabel,F,33
Agnés,F,33
Blanche,F,33
Josée,F,33
Lynda,F,33
Karima,F,33
Marie Laure,F,33
Célia,F,32
Samira,F,32
Aurelie,F,32
Cécilia,F,32
Jany,F,32
Marie-Joseph,F,32
Margaret,F,31
Gwenaëlle,F,31
Jackie,F,31
Adrienne,F,31
Sylvianne,F,31
Julia,F,30
Manuella,F,30
A.Marie,F,30
Flora,F,30
Stella,F,30
Anne-Catherine,F,30
Tania,F,30
Janick,F,29
Nadege,F,29
Farida,F,29
Johanna,F,29
Berthe,F,29
Aïcha,F,29
Josyane,F,29
Eugénie,F,29
Anne-Françoise,F,28
Anaïs,F,28
Guilaine,F,28
Suzy,F,28
Perrine,F,28
Marie-Josephe,F,27
Gladys,F,27
Zohra,F,27
Rachida,F,27
Cendrine,F,27
Angelique,F,27
Léa,F,27
Rozenn,F,27
Luce,F,27
Marie Ange,F,27
Alexandrine,F,26
Jenny,F,26
Dalila,F,26
Arielle,F,26
Samia,F,26
Floriane,F,26
Angeline,F,26
